"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R7,R10,R6,R11,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"5k";;;
2;"C12,C11,C13,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100nF";;;
3;"C3,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100n";;;
4;"C8,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
5;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"USR LED 1";;;
6;"U1";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
7;"J5";"PinSocket_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
8;"U5";"SOT-23-6";1;"USBLC6-2SC6";;;
9;"J1";"PinSocket_1x03_P2.54mm_Vertical";1;"Gnd";;;
10;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED 3V";;;
11;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1K";;;
12;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF";;;
13;"J3";"PinSocket_1x04_P2.54mm_Vertical";1;"Extra Pins";;;
14;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"USR LED 2";;;
15;"J2";"216989-0001_MOL";1;"2169890001";;;
16;"SW8";"SW_SPST_FSMSM";1;"SW_SPST BOOT";;;
17;"C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7Uf";;;
18;"U2";"LQFP-32_7x7mm_P0.8mm";1;"STM32C071KBTx";;;
19;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"Buttons";;;
